"x","y","substitution"
0,0,"regression on order statistics"
0,0,"regression on order statistics"
0.25,0,"regression on order statistics"
0.25,0,"regression on order statistics"
0.5,0,"regression on order statistics"
0.5,0,"regression on order statistics"
0.75,0,"regression on order statistics"
0.75,4,"regression on order statistics"
1,4,"regression on order statistics"
1,53,"regression on order statistics"
1.25,53,"regression on order statistics"
1.25,250,"regression on order statistics"
1.5,250,"regression on order statistics"
1.5,692,"regression on order statistics"
1.75,692,"regression on order statistics"
1.75,1341,"regression on order statistics"
2,1341,"regression on order statistics"
2,2030,"regression on order statistics"
2.25,2030,"regression on order statistics"
2.25,2577,"regression on order statistics"
2.5,2577,"regression on order statistics"
2.5,2872,"regression on order statistics"
2.75,2872,"regression on order statistics"
2.75,2905,"regression on order statistics"
3,2905,"regression on order statistics"
3,2727,"regression on order statistics"
3.25,2727,"regression on order statistics"
3.25,2416,"regression on order statistics"
3.5,2416,"regression on order statistics"
3.5,2048,"regression on order statistics"
3.75,2048,"regression on order statistics"
3.75,1673,"regression on order statistics"
4,1673,"regression on order statistics"
4,1331,"regression on order statistics"
4.25,1331,"regression on order statistics"
4.25,939,"regression on order statistics"
4.5,939,"regression on order statistics"
4.5,848,"regression on order statistics"
4.75,848,"regression on order statistics"
4.75,692,"regression on order statistics"
5,692,"regression on order statistics"
5,460,"regression on order statistics"
5.25,460,"regression on order statistics"
5.25,295,"regression on order statistics"
5.5,295,"regression on order statistics"
5.5,204,"regression on order statistics"
5.75,204,"regression on order statistics"
5.75,156,"regression on order statistics"
6,156,"regression on order statistics"
6,127,"regression on order statistics"
6.25,127,"regression on order statistics"
6.25,91,"regression on order statistics"
6.5,91,"regression on order statistics"
6.5,46,"regression on order statistics"
6.75,46,"regression on order statistics"
6.75,38,"regression on order statistics"
7,38,"regression on order statistics"
7,30,"regression on order statistics"
7.25,30,"regression on order statistics"
7.25,23,"regression on order statistics"
7.5,23,"regression on order statistics"
7.5,18,"regression on order statistics"
7.75,18,"regression on order statistics"
7.75,10,"regression on order statistics"
8,10,"regression on order statistics"
8,14,"regression on order statistics"
8.25,14,"regression on order statistics"
8.25,5,"regression on order statistics"
8.5,5,"regression on order statistics"
8.5,5,"regression on order statistics"
8.75,5,"regression on order statistics"
8.75,6,"regression on order statistics"
9,6,"regression on order statistics"
9,4,"regression on order statistics"
9.25,4,"regression on order statistics"
9.25,3,"regression on order statistics"
9.5,3,"regression on order statistics"
9.5,3,"regression on order statistics"
9.75,3,"regression on order statistics"
9.75,3,"regression on order statistics"
10,3,"regression on order statistics"
10,1,"regression on order statistics"
10.25,1,"regression on order statistics"
10.25,1,"regression on order statistics"
10.5,1,"regression on order statistics"
10.5,0,"regression on order statistics"
10.75,0,"regression on order statistics"
10.75,1,"regression on order statistics"
11,1,"regression on order statistics"
11,0,"regression on order statistics"
0,0,"constant"
0,23346,"constant"
0.25,23346,"constant"
0.25,0,"constant"
0.5,0,"constant"
0.5,0,"constant"
0.75,0,"constant"
0.75,0,"constant"
1,0,"constant"
1,0,"constant"
1.25,0,"constant"
1.25,0,"constant"
1.5,0,"constant"
1.5,0,"constant"
1.75,0,"constant"
1.75,0,"constant"
2,0,"constant"
2,0,"constant"
2.25,0,"constant"
2.25,0,"constant"
2.5,0,"constant"
2.5,0,"constant"
2.75,0,"constant"
2.75,0,"constant"
3,0,"constant"
3,0,"constant"
3.25,0,"constant"
3.25,0,"constant"
3.5,0,"constant"
3.5,0,"constant"
3.75,0,"constant"
3.75,0,"constant"
4,0,"constant"
4,1,"constant"
4.25,1,"constant"
4.25,511,"constant"
4.5,511,"constant"
4.5,848,"constant"
4.75,848,"constant"
4.75,692,"constant"
5,692,"constant"
5,460,"constant"
5.25,460,"constant"
5.25,295,"constant"
5.5,295,"constant"
5.5,204,"constant"
5.75,204,"constant"
5.75,156,"constant"
6,156,"constant"
6,127,"constant"
6.25,127,"constant"
6.25,91,"constant"
6.5,91,"constant"
6.5,46,"constant"
6.75,46,"constant"
6.75,38,"constant"
7,38,"constant"
7,30,"constant"
7.25,30,"constant"
7.25,23,"constant"
7.5,23,"constant"
7.5,18,"constant"
7.75,18,"constant"
7.75,10,"constant"
8,10,"constant"
8,14,"constant"
8.25,14,"constant"
8.25,5,"constant"
8.5,5,"constant"
8.5,5,"constant"
8.75,5,"constant"
8.75,6,"constant"
9,6,"constant"
9,4,"constant"
9.25,4,"constant"
9.25,3,"constant"
9.5,3,"constant"
9.5,3,"constant"
9.75,3,"constant"
9.75,3,"constant"
10,3,"constant"
10,1,"constant"
10.25,1,"constant"
10.25,1,"constant"
10.5,1,"constant"
10.5,0,"constant"
10.75,0,"constant"
10.75,1,"constant"
11,1,"constant"
11,0,"constant"
