Atomic_number,Element,depth_a,depth_b,thickness,energy
13,Al,38.57773983,78.35980166,250,1.486
14,Si,60.90150268,124.2325107,250,1.74
15,P,92.43639775,189.2961039,250,2.01
16,S,138.0350352,283.7352227,250,2.309
17,Cl,199.3112272,411.0967952,250,2.622
18,Ar,282.3194931,584.2015862,250,2.958
19,K,391.8392447,813.3079418,250,3.314
20,Ca,534.8576927,1113.371867,250,3.692
21,Sc,719.4619627,1501.762883,250,4.093
22,Ti,951.5919097,1991.416264,250,4.512
23,V,1242.567054,2606.691278,250,4.953
24,Cr,1602.272047,3369.024292,250,5.415
25,Mn,2043.993285,4307.146699,250,5.9
26,Fe,2577.384773,5442.141349,250,6.405
27,Co,3216.09769,6803.610239,250,6.931
28,Ni,3976.256338,8426.44763,250,7.48
29,Cu,4862.233167,10320.39281,250,8.046
30,Zn,5899.386264,12539.92715,250,8.637
31,Ga,7097.894814,15106.93646,250,9.251
32,Ge,8464.953423,18036.63914,250,9.886
33,As,10011.41299,22159.61309,250,10.543
34,Se,11748.8145,25617.5345,250,11.224
35,Br,13666.97407,29382.99869,250,11.924
36,Kr,15778.22353,33476.28557,250,12.648
37,Rb,18078.11852,37886.34642,250,13.396
38,Sr,20547.59009,42576.6556,250,14.165
39,Y,23181.74863,47540.19756,250,14.958
40,Zr,25962.10283,52746.33831,250,15.775
41,Nb,28862.58292,58152.48615,250,16.615
42,Mo,31864.1621,63730.96069,250,17.48
